id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rn,reviews_pm_clean
,3274376,1.462624535338291e+18,,Brooklyn,Clinton Hill,40.68178,-73.96471,,,2,144.0,,,1.0,178.0,14.0,,,1,1.0
2595.0,Skylit Studio Oasis | Midtown Manhattan Sanctuary,2845.0,1.4625063262623954e+18,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,,30.0,47.0,2022-06-21,0.24,3.0,256.0,0.0,,1,0.24
6848.0,Only 2 stops to Manhattan studio,15991.0,1.462506783043501e+18,Allen,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,,30.0,197.0,2025-11-17,0.97,1.0,198.0,4.0,,1,0.97
6872.0,Uptown Sanctuary w/ Private Bath (Month to Month),16104.0,1.4625067848742226e+18,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,,30.0,2.0,2025-10-07,0.04,2.0,83.0,1.0,,1,0.04
6990.0,UES Beautiful Blue Room,16800.0,1.4625068390763054e+18,Cynthia,Manhattan,East Harlem,40.78778,-73.94759,Private room,,30.0,251.0,2026-01-11,1.26,1.0,214.0,4.0,,1,1.26
7097.0,"Perfect for Your Parents, With Garden & Patio",17571.0,1.462506848265336e+18,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,,2.0,423.0,2025-09-23,2.16,2.0,0.0,26.0,OSE-STRREG-0000008,1,2.16
7801.0,Sunny Williamsburg Loft with Private Cedar Sauna,21207.0,1.4625069513107448e+18,Chaya,Brooklyn,Williamsburg,40.718807220458984,-73.9561767578125,Entire home/apt,,30.0,12.0,2024-07-31,0.06,1.0,196.0,0.0,,1,0.06
8490.0,"Maison des Sirenes1,bohemian, luminous apartment",25183.0,1.4625070102070057e+18,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,,30.0,189.0,2023-10-16,0.94,2.0,220.0,0.0,,1,0.94
9357.0,Midtown Pied-a-terre,30193.0,1.4625071257510277e+18,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,,30.0,58.0,2017-08-13,0.29,1.0,150.0,0.0,,1,0.29
10452.0,Radiant Oasis  B&B Style room,35935.0,1.4625072838869527e+18,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,,30.0,82.0,2025-03-31,0.43,6.0,229.0,1.0,,1,0.43
11943.0,Country space in the city,45445.0,1.4625075173886922e+18,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,,30.0,0.0,,,1.0,0.0,0.0,,1,0.0
12192.0,ENJOY Downtown NYC!,46978.0,1.4625075744320448e+18,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,,30.0,316.0,2026-01-06,1.59,2.0,13.0,2.0,,1,1.59
12937.0,"1 Stop to Midtown! Private Bedroom, Landmark House",50124.0,1.4625076386396603e+18,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,,1.0,470.0,2026-01-14,2.46,1.0,140.0,37.0,OSE-STRREG-0000923,1,2.46
12940.0,Charming Brownstone 3 - Near PRATT,50148.0,1.4625076394732283e+18,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,,30.0,81.0,2025-11-15,0.41,1.0,241.0,2.0,,1,0.41
14314.0,Greenpoint Place...Has It All!,56246.0,1.4625078326457306e+18,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,,30.0,177.0,2025-11-17,0.9,1.0,228.0,1.0,,1,0.9
15385.0,"Very, very cozy place",60252.0,1.4625079693188923e+18,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,,31.0,63.0,2025-07-25,0.33,1.0,97.0,3.0,,1,0.33
15396.0,Sunny & Spacious Chelsea Apartment,60278.0,1.4625079704088525e+18,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,,180.0,5.0,2018-11-03,0.04,1.0,179.0,0.0,,1,0.04
16338.0,"Large Room + Private Deck, Clinton Hill Best Area",63613.0,1.4625080866123569e+18,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,,30.0,33.0,2025-12-03,0.17,1.0,303.0,1.0,,1,0.17
16580.0,"Sunny, Modern room in East Village w City Views",64442.0,1.462508106838747e+18,Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,,1.0,676.0,2026-01-25,4.45,2.0,228.0,57.0,OSE-STRREG-0000108,1,4.45
16821.0,Charming Room in Amazing East Village Apt. (B),4396.0,1.4625064115478776e+18,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,,1.0,301.0,2026-02-10,1.83,2.0,42.0,57.0,OSE-STRREG-0001710,1,1.83
16974.0,SpaHa Loft: Enormous and Bright,65837.0,1.462508191008623e+18,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,,30.0,291.0,2023-09-05,1.48,1.0,239.0,0.0,,1,1.48
17037.0,Lovely EV Artist's Home,66035.0,1.462508196146433e+18,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,,30.0,53.0,2024-06-06,0.27,1.0,177.0,0.0,,1,0.27
18152.0,Manhattan Room,69942.0,1.4625083230301422e+18,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,,30.0,146.0,2019-09-01,0.83,1.0,365.0,0.0,,1,0.83
18728.0,Beautiful Meatpacking District Loft,71876.0,1.4625083643975496e+18,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,,30.0,251.0,2025-08-24,1.38,1.0,357.0,1.0,,1,1.38
18961.0,Cozy Studio in Great Location!,70857.0,1.462508342742173e+18,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,,30.0,1.0,2016-03-22,0.01,1.0,0.0,0.0,,1,0.01
19174.0,One bedroom Duplex Private Terrace West Village,73164.0,1.4625084472821076e+18,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,,90.0,68.0,2024-12-27,0.35,1.0,0.0,0.0,,1,0.35
19812.0,2 bedroom Williamsburg Apt - Bedford L stop,74857.0,1.4625084943395185e+18,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,,30.0,58.0,2018-07-29,0.3,1.0,253.0,0.0,,1,0.3
20913.0,Charming 1 bed GR8 WBurg LOCATION!,79402.0,1.462508649888223e+18,Christiana,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,,30.0,164.0,2018-07-22,0.88,1.0,0.0,0.0,,1,0.88
21456.0,Light-filled classic Central Park,42032.0,1.4625074580007834e+18,Dana,Manhattan,Upper West Side,40.79936,-73.96155,Private room,,30.0,79.0,2021-09-12,0.41,1.0,365.0,0.0,,1,0.41
21644.0,"Upper Manhattan, New York",82685.0,1.4625087171910956e+18,Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,,30.0,3.0,2019-10-21,0.03,1.0,0.0,0.0,,1,0.03
21794.0,COZY QUIET monthly room 4 DOOGLERS!,83257.0,1.4625091974251973e+18,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,,30.0,36.0,2020-01-19,0.19,2.0,365.0,0.0,,1,0.19
23135.0,@HouseOnHenrySt Private 1 bedroom with shared use,11481.0,1.462506668256329e+18,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,,30.0,317.0,2024-07-25,1.65,4.0,365.0,0.0,,1,1.65
23545.0,Upper Upper West Side Garden Apartment Townhouse,92411.0,1.4625093836003374e+18,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,,30.0,214.0,2019-06-17,1.11,1.0,358.0,0.0,,1,1.11
